epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,449.31,1.13387,1.79119,1.70172,1.01867,0.86089,0.16523,0.41313,0.25559,0.79203,0.1257,0.29799,0.11076,1.16423,2.15692,2.77841,1.06393,0.000414613,0.000414613,0.000414613
30,464.422,1.09417,1.64117,1.72868,1.04138,0.87789,0.16985,0.3844,0.25571,0.78427,0.1233,0.26569,0.14168,1.16115,2.17437,2.68028,1.06293,0.000423199,0.000423199,0.000423199
31,479.688,1.02822,1.6463,1.53458,1.03449,0.93253,0.19329,0.38509,0.26624,0.80896,0.125,0.27754,0.20413,1.11426,2.08768,2.63493,1.03696,0.000431389,0.000431389,0.000431389
32,494.864,1.12726,1.79398,1.60595,1.05568,0.94582,0.19201,0.40229,0.28371,0.81306,0.12505,0.27005,0.22715,1.08627,2.07253,2.61556,1.0278,0.000439183,0.000439183,0.000439183
33,509.434,1.09552,1.75692,1.8711,1.06487,0.94582,0.19201,0.40229,0.28371,0.81306,0.12505,0.27005,0.22715,1.08627,2.07253,2.61556,1.0278,0.000446581,0.000446581,0.000446581
34,523.462,1.0994,1.60279,1.56031,1.03239,0.93676,0.19475,0.3847,0.27534,0.8113,0.12778,0.28243,0.22026,1.09813,2.0783,2.61082,1.02635,0.000449091,0.000449091,0.000449091
35,538.03,1.14183,1.78242,1.71094,1.07159,0.92535,0.20568,0.39625,0.28402,0.8503,0.15658,0.30144,0.22497,1.08479,2.10687,2.62311,1.03505,0.000442488,0.000442488,0.000442488
36,553.679,1.11928,1.67991,1.47651,1.01642,0.81389,0.23587,0.43802,0.32022,0.70302,0.15551,0.35808,0.25164,1.08739,2.0924,2.60224,1.05358,0.000435884,0.000435884,0.000435884
37,569.574,1.14679,1.70628,1.61434,1.032,0.81389,0.23587,0.43802,0.32022,0.70302,0.15551,0.35808,0.25164,1.08739,2.0924,2.60224,1.05358,0.000429281,0.000429281,0.000429281
38,585.006,0.95971,1.53875,1.70295,1.05591,0.81777,0.23131,0.45047,0.33442,0.72963,0.17065,0.37066,0.26991,1.09259,2.04526,2.51493,1.05402,0.000422678,0.000422678,0.000422678
39,601.161,1.19696,1.85843,1.66934,1.04593,0.86493,0.22287,0.46444,0.32683,0.69155,0.14984,0.36995,0.2767,1.07826,2.00899,2.31052,1.0463,0.000416075,0.000416075,0.000416075
40,617.127,1.05163,1.56983,1.47777,1.02619,0.86524,0.23014,0.47509,0.33201,0.55592,0.15336,0.36614,0.28744,1.03915,1.97196,2.04951,1.03436,0.000409471,0.000409471,0.000409471
41,633.456,0.98663,1.47041,1.33118,0.97373,0.86524,0.23014,0.47509,0.33201,0.55592,0.15336,0.36614,0.28744,1.03915,1.97196,2.04951,1.03436,0.000402868,0.000402868,0.000402868
42,648.951,1.10241,1.81514,1.71501,1.07632,0.84108,0.23849,0.4746,0.32786,0.54098,0.15927,0.3623,0.28908,1.01576,1.96974,1.86768,1.02278,0.000396265,0.000396265,0.000396265
43,664.273,1.093,1.46361,1.38838,1.11385,0.65526,0.25941,0.45173,0.3054,0.53336,0.16889,0.3307,0.26468,1.02123,1.96865,1.75116,1.03053,0.000389661,0.000389661,0.000389661
44,680.472,1.02009,1.69644,1.33803,1.0038,0.65942,0.29066,0.46047,0.30952,0.60615,0.22177,0.38939,0.26998,1.02023,1.97527,1.62239,1.03006,0.000383058,0.000383058,0.000383058
45,696.185,1.0362,1.4744,1.34701,0.97634,0.65942,0.29066,0.46047,0.30952,0.60615,0.22177,0.38939,0.26998,1.02023,1.97527,1.62239,1.03006,0.000376455,0.000376455,0.000376455
46,711.89,1.01563,1.54157,1.46954,1.00361,0.89229,0.28039,0.47169,0.31009,0.82624,0.21342,0.38741,0.2729,1.02281,1.93865,1.55643,1.0462,0.000369851,0.000369851,0.000369851
47,727.81,1.0414,1.50096,1.33208,0.98905,0.91334,0.2731,0.47537,0.3186,0.85621,0.2049,0.40031,0.27199,0.98719,1.92506,1.56072,1.01653,0.000363248,0.000363248,0.000363248
48,743.703,0.95583,1.425,1.22225,0.99981,0.90818,0.27512,0.47521,0.30747,0.89657,0.22077,0.41763,0.2789,0.99547,1.91331,1.54126,1.02652,0.000356645,0.000356645,0.000356645
49,759.461,1.00437,1.67648,1.28837,0.99266,0.90818,0.27512,0.47521,0.30747,0.89657,0.22077,0.41763,0.2789,0.99547,1.91331,1.54126,1.02652,0.000350042,0.000350042,0.000350042
50,774.891,1.10487,1.89798,1.61822,1.08192,0.65314,0.34084,0.47124,0.30796,0.89698,0.21946,0.39023,0.26746,0.99162,1.92763,1.52654,1.02865,0.000343438,0.000343438,0.000343438
51,790.396,0.92248,1.37884,1.18307,0.99563,0.67207,0.34114,0.48207,0.30904,0.59006,0.25886,0.40469,0.27179,0.99885,1.9398,1.49519,1.03201,0.000336835,0.000336835,0.000336835
52,806.376,1.14371,1.69417,1.46195,1.0197,0.74123,0.34088,0.48313,0.30525,0.6082,0.38386,0.38683,0.27033,1.01441,1.94412,1.469,1.0427,0.000330232,0.000330232,0.000330232
53,821.989,0.90006,1.46693,1.24065,0.97123,0.74123,0.34088,0.48313,0.30525,0.6082,0.38386,0.38683,0.27033,1.01441,1.94412,1.469,1.0427,0.000323628,0.000323628,0.000323628
54,838.113,0.95174,1.50367,1.30855,0.95415,0.64817,0.46614,0.46863,0.29078,0.56429,0.38386,0.38486,0.26276,1.00777,1.9048,1.43513,1.05247,0.000317025,0.000317025,0.000317025
55,854.151,0.9224,1.27861,1.0715,0.99556,0.68036,0.42869,0.48735,0.29852,0.63448,0.3797,0.37035,0.26267,0.99214,1.87039,1.42782,1.03874,0.000310422,0.000310422,0.000310422
56,870.033,0.89578,1.49111,1.19275,0.9821,0.88996,0.4437,0.44182,0.29279,0.81299,0.37529,0.37941,0.26411,0.98936,1.83705,1.40364,1.02657,0.000303818,0.000303818,0.000303818
57,885.104,0.8851,1.41054,1.11078,0.95239,0.88996,0.4437,0.44182,0.29279,0.81299,0.37529,0.37941,0.26411,0.98936,1.83705,1.40364,1.02657,0.000297215,0.000297215,0.000297215
58,900.422,1.01806,1.55905,1.24257,1.04422,0.8546,0.36666,0.42954,0.2947,0.79524,0.33361,0.37287,0.25571,0.99736,1.85415,1.38433,1.0369,0.000290612,0.000290612,0.000290612
59,915.521,0.92904,1.34209,1.28413,0.98205,0.87806,0.35403,0.40991,0.30014,0.79443,0.33307,0.36112,0.2569,1.02126,1.83474,1.39222,1.05307,0.000284009,0.000284009,0.000284009
60,931.757,0.95805,1.41753,1.7978,1.03733,0.88945,0.3907,0.43032,0.30526,0.78442,0.32805,0.35814,0.25512,1.02289,1.82965,1.41314,1.04268,0.000277405,0.000277405,0.000277405
61,947.294,0.93484,1.22599,1.20612,0.99039,0.88945,0.3907,0.43032,0.30526,0.78442,0.32805,0.35814,0.25512,1.02289,1.82965,1.41314,1.04268,0.000270802,0.000270802,0.000270802
62,963.221,0.94691,1.25836,1.25192,0.95178,0.87635,0.39867,0.4386,0.30173,0.77551,0.33077,0.35405,0.25333,0.97406,1.81442,1.38898,1.0178,0.000264199,0.000264199,0.000264199
63,978.927,0.95004,1.43071,1.26728,0.95386,0.86738,0.40575,0.4414,0.30278,0.77952,0.33244,0.36461,0.25779,0.95943,1.79172,1.35037,1.01554,0.000257595,0.000257595,0.000257595
64,994.724,0.86963,1.26297,1.13793,0.94172,0.90583,0.38586,0.44704,0.31531,0.80858,0.32226,0.38202,0.27837,0.95906,1.76897,1.3327,1.01843,0.000250992,0.000250992,0.000250992
65,1009.82,1.07964,1.33887,1.30765,1.11821,0.90583,0.38586,0.44704,0.31531,0.80858,0.32226,0.38202,0.27837,0.95906,1.76897,1.3327,1.01843,0.000244389,0.000244389,0.000244389
66,1024.31,0.89132,1.27033,1.18744,0.95986,0.89175,0.39883,0.45711,0.32469,0.81297,0.32098,0.37419,0.28171,0.95485,1.78461,1.33955,1.01819,0.000237785,0.000237785,0.000237785
67,1038.57,0.80727,1.13665,1.03814,0.95336,0.86364,0.41669,0.45271,0.31765,0.82384,0.3193,0.37372,0.27024,0.94465,1.8152,1.3605,1.01178,0.000231182,0.000231182,0.000231182
68,1053.66,0.99518,1.35447,1.25718,0.98307,0.86467,0.42139,0.43963,0.32463,0.83131,0.31346,0.36833,0.28128,0.92195,1.77685,1.36921,1.00008,0.000224579,0.000224579,0.000224579
69,1068.85,0.87257,1.3394,1.07158,0.97208,0.86467,0.42139,0.43963,0.32463,0.83131,0.31346,0.36833,0.28128,0.92195,1.77685,1.36921,1.00008,0.000217976,0.000217976,0.000217976
70,1084.46,0.85752,1.29664,1.11965,0.95413,0.89041,0.4188,0.44795,0.33418,0.81118,0.29762,0.36437,0.26299,0.90137,1.81752,1.34814,0.99039,0.000211372,0.000211372,0.000211372
71,1100.12,0.85069,1.30897,1.1064,0.93964,0.91941,0.42143,0.44884,0.3374,0.76101,0.3346,0.3737,0.26658,0.8856,1.80173,1.30724,0.99067,0.000204769,0.000204769,0.000204769
72,1115.17,0.876,1.27275,1.14739,0.96527,0.89067,0.42246,0.4628,0.34916,0.78376,0.3192,0.38862,0.28692,0.89286,1.80085,1.28349,0.99367,0.000198166,0.000198166,0.000198166
73,1130.75,0.81605,1.1316,0.99728,0.97001,0.89067,0.42246,0.4628,0.34916,0.78376,0.3192,0.38862,0.28692,0.89286,1.80085,1.28349,0.99367,0.000191562,0.000191562,0.000191562
74,1146.02,0.91086,1.33148,1.17012,0.93636,0.89355,0.41958,0.46703,0.35221,0.77992,0.31356,0.38855,0.27801,0.90074,1.81489,1.26298,0.99561,0.000184959,0.000184959,0.000184959
75,1160.87,0.81267,1.24253,1.09611,0.9272,0.87717,0.41997,0.47761,0.35913,0.74179,0.31937,0.384,0.28047,0.89983,1.81506,1.26013,0.99456,0.000178356,0.000178356,0.000178356
76,1176.07,0.90457,1.21664,1.10333,1.00906,0.87094,0.42316,0.47794,0.3531,0.72509,0.32595,0.37544,0.2785,0.89152,1.77834,1.23371,0.98609,0.000171752,0.000171752,0.000171752
77,1191.56,0.94285,1.35295,1.14512,0.96272,0.87094,0.42316,0.47794,0.3531,0.72509,0.32595,0.37544,0.2785,0.89152,1.77834,1.23371,0.98609,0.000165149,0.000165149,0.000165149
78,1206.72,0.87535,1.19089,1.16607,0.97717,0.89773,0.42584,0.48353,0.36052,0.79854,0.35898,0.41915,0.28612,0.87489,1.76384,1.21016,0.97704,0.000158546,0.000158546,0.000158546
79,1222.33,0.88601,1.53967,1.08989,0.94431,0.90135,0.42527,0.48057,0.36769,0.78258,0.38194,0.4319,0.29437,0.87103,1.7388,1.2111,0.97664,0.000151943,0.000151943,0.000151943
80,1237.79,0.82811,1.16264,1.06848,0.93448,0.89227,0.42679,0.48547,0.37134,0.81816,0.37792,0.43115,0.3018,0.86812,1.73429,1.19096,0.97621,0.000145339,0.000145339,0.000145339
81,1253.23,0.86077,1.27716,0.98023,0.93972,0.89227,0.42679,0.48547,0.37134,0.81816,0.37792,0.43115,0.3018,0.86812,1.73429,1.19096,0.97621,0.000138736,0.000138736,0.000138736
82,1269.01,1.06141,1.48872,1.33036,1.06739,0.89616,0.43048,0.52821,0.4087,0.82886,0.33661,0.44847,0.32548,0.85841,1.71706,1.17383,0.97148,0.000132133,0.000132133,0.000132133
83,1284.66,0.8805,1.43018,1.06473,0.93025,0.89764,0.42678,0.59374,0.46511,0.81192,0.34164,0.49223,0.36448,0.85787,1.69416,1.15766,0.96958,0.000125529,0.000125529,0.000125529
84,1299.71,0.8448,1.28503,0.99314,0.92207,0.8965,0.42771,0.59165,0.46245,0.80479,0.34452,0.50487,0.36326,0.85659,1.68359,1.15739,0.97003,0.000118926,0.000118926,0.000118926
85,1314.25,0.83168,1.14694,1.03956,0.95247,0.8965,0.42771,0.59165,0.46245,0.80479,0.34452,0.50487,0.36326,0.85659,1.68359,1.15739,0.97003,0.000112323,0.000112323,0.000112323
86,1329.81,0.86499,1.27411,1.02688,0.92803,0.86885,0.4234,0.58169,0.45996,0.75122,0.36534,0.50517,0.36389,0.86434,1.69494,1.15182,0.97486,0.00010572,0.00010572,0.00010572
87,1344.36,0.81572,1.22092,0.92435,0.94539,0.88777,0.41062,0.57211,0.45694,0.81249,0.38187,0.52559,0.36401,0.87897,1.69501,1.16266,0.9802,9.91162e-05,9.91162e-05,9.91162e-05
88,1360.32,0.73959,1.02575,0.87655,0.91642,0.8934,0.40787,0.58016,0.45674,0.81055,0.37685,0.52384,0.36394,0.88752,1.67364,1.15159,0.98243,9.25129e-05,9.25129e-05,9.25129e-05
89,1375.05,0.86313,1.24956,1.04588,0.95935,0.8934,0.40787,0.58016,0.45674,0.81055,0.37685,0.52384,0.36394,0.88752,1.67364,1.15159,0.98243,8.59096e-05,8.59096e-05,8.59096e-05
90,1389.89,0.83416,1.35314,1.10014,0.99501,0.89583,0.40758,0.5875,0.45827,0.80925,0.38056,0.52983,0.36815,0.89134,1.68985,1.14039,0.98634,7.93063e-05,7.93063e-05,7.93063e-05
91,1403.71,0.7089,1.03656,0.99412,0.8854,0.89781,0.40742,0.5808,0.4573,0.80905,0.38002,0.52924,0.36835,0.8913,1.68309,1.13878,0.98503,7.2703e-05,7.2703e-05,7.2703e-05
92,1417.82,0.72252,1.01582,0.96062,0.88426,0.91943,0.42527,0.60245,0.46343,0.81042,0.37934,0.52999,0.36959,0.89814,1.69958,1.13959,0.98785,6.60997e-05,6.60997e-05,6.60997e-05
93,1431.34,0.74049,0.94737,0.94452,0.88412,0.91943,0.42527,0.60245,0.46343,0.81042,0.37934,0.52999,0.36959,0.89814,1.69958,1.13959,0.98785,5.94964e-05,5.94964e-05,5.94964e-05
94,1444.86,0.71329,0.92398,0.9239,0.8924,0.92607,0.42174,0.60564,0.4658,0.81595,0.38015,0.53606,0.36747,0.88814,1.67756,1.14467,0.98471,5.28931e-05,5.28931e-05,5.28931e-05
95,1458.41,0.71809,0.94816,0.88615,0.88269,0.933,0.41703,0.60431,0.46546,0.82086,0.38003,0.5351,0.36957,0.87836,1.68478,1.14416,0.98165,4.62898e-05,4.62898e-05,4.62898e-05
96,1471.82,0.7125,1.01635,0.91082,0.88507,0.93145,0.41623,0.60493,0.46172,0.8278,0.37608,0.53537,0.36716,0.86808,1.67956,1.14233,0.97739,3.96865e-05,3.96865e-05,3.96865e-05
97,1485.21,0.66983,0.95042,0.88008,0.88477,0.93145,0.41623,0.60493,0.46172,0.8278,0.37608,0.53537,0.36716,0.86808,1.67956,1.14233,0.97739,3.30832e-05,3.30832e-05,3.30832e-05
98,1498.85,0.67078,1.09318,0.95992,0.90721,0.93405,0.41565,0.6058,0.46168,0.82722,0.37695,0.53792,0.36743,0.86593,1.6794,1.14957,0.9764,2.64799e-05,2.64799e-05,2.64799e-05
99,1513.99,0.6678,0.89864,0.89993,0.86844,0.93951,0.41924,0.60667,0.4627,0.8191,0.37809,0.53776,0.36622,0.86414,1.70063,1.14751,0.97615,1.98766e-05,1.98766e-05,1.98766e-05
100,1528.42,0.74943,0.97297,0.88562,0.89531,0.93916,0.42018,0.60343,0.46127,0.81939,0.37829,0.52907,0.37371,0.86091,1.69623,1.15452,0.97541,1.32733e-05,1.32733e-05,1.32733e-05
