Folder,Image Name,Total Time (ms),Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms)
Medium-Proc + High aq time,rgb_image_00002_0.5.png,22.2366,2.0831,17.9987,2.1548
Medium-Proc + High aq time,rgb_image_00002_0.25.png,13.9995,1.9999,9.9993,2.0003
Medium-Proc + High aq time,rgb_image_00002.png,15.1799,1.9989,10.1795,3.0015
Medium-Proc + low aq time,rgb_image_00000_0.5.png,16.1490,1.9999,12.1486,2.0006
Medium-Proc + low aq time,rgb_image_00000_0.25.png,13.3483,0.9997,10.1876,2.1610
Medium-Proc + low aq time,rgb_image_00000.png,15.0974,2.0015,11.0958,2.0001
Medium-Proc + low aq time,rgb_image_00001_0.5.png,18.1632,2.0008,14.1633,1.9991
Medium-Proc + low aq time,rgb_image_00001_0.25.png,14.0002,0.9999,10.9999,2.0003
Medium-Proc + low aq time,rgb_image_00001.png,15.1548,1.0006,13.1555,0.9987
Medium-Proc + low aq time,rgb_image_00002_0.5.png,13.1316,0.9999,11.1332,0.9985
Medium-Proc + low aq time,rgb_image_00002_0.25.png,14.1144,1.1141,11.0013,1.9989
Medium-Proc + low aq time,rgb_image_00002.png,14.2872,2.1348,10.1523,2.0001
